name,country,Player_summary,birth,birth_place,role,batting_style,bowling_style
KL Rahul,India,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616523/kl-rahul.jpg,"April 18, 1992 (32 years)","Mangaluru, Karnataka",WK-Batsman,Right Handed Bat,"India, Karnataka, East Zone, South Zone, Royal Challengers Bengaluru, India A, Sunrisers Hyderabad, Indians, Hubli Tigers, Indian Board Presidents XI, Bellary Tuskers, Punjab Kings, Asia XI, Lucknow Super Giants, Delhi Capitals"
Jaker Ali,Bangladesh,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616470/jaker-ali.jpg,"February 22, 1998 (27 years)",--,WK-Batsman,Right Handed Bat,"Bangladesh U19, Sylhet Sixers, Bangladesh Cricket Board XI, Dhaka Platoon, Minister Group Rajshahi, Khulna Tigers, Bangladesh A, Comilla Victorians, Bangladesh, Sylhet Strikers"
Shaheen Afridi,Pakistan,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616446/shaheen-afridi.jpg,"April 06, 2000 (24 years)",Khyber Agency,Bowler,Left Handed Bat,Left-arm fast-medium
Cooper Connolly,Australia,https://static.cricbuzz.com/a/img/v1/152x152/i1/c619856/cooper-connolly.jpg,"August 22, 2003 (21 years)",--,Batting Allrounder,Left Handed Bat,Left-arm orthodox
Fazalhaq Farooqi,Afghanistan,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616558/fazalhaq-farooqi.jpg,"September 22, 2000 (24 years)",Baghlan,Bowler,Right Handed Bat,Left-arm fast-medium
Mitchell Santner,New Zealand,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616427/mitchell-santner.jpg,"February 05, 1992 (33 years)",Hamilton,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
Saud Shakeel,Pakistan,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616442/saud-shakeel.jpg,"September 05, 1995 (29 years)","Karachi, Sind",Batting Allrounder,Left Handed Bat,Left-arm orthodox
Mohammad Rizwan,Pakistan,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616445/mohammad-rizwan.jpg,"June 01, 1992 (32 years)","Peshawar, North-West Frontier Province",WK-Batsman,Right Handed Bat,"Pakistan, Lahore Qalandars, Pakistan U23, Sylhet Sixers, Karachi Kings, Pakistan A, Team White, Team Green, Multan Sultans, Sussex, Comilla Victorians, Vancouver Knights"
Ben Dwarshuis,Australia,https://static.cricbuzz.com/a/img/v1/152x152/i1/c619883/ben-dwarshuis.jpg,"June 23, 1994 (30 years)","Kareela, New South Wales",Bowler,Left Handed Bat,Left-arm fast-medium
Marnus Labuschagne,Australia,https://static.cricbuzz.com/a/img/v1/152x152/i1/c619875/marnus-labuschagne.jpg,"June 22, 1994 (30 years)","Klerksdorp, North West Province, South Africa",Batsman,Right Handed Bat,Right-arm legbreak
Rassie van der Dussen,South Africa,https://static.cricbuzz.com/a/img/v1/152x152/i1/c619859/rassie-van-der-dussen.jpg,"February 07, 1989 (36 years)","Pretoria, Transvaal",Batsman,Right Handed Bat,Right-arm legbreak
Tanzid Hasan,Bangladesh,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616469/tanzid-hasan.jpg,"December 01, 2000 (24 years)",Bngra,Batsman,Left Handed Bat,"Bangladesh U19, Bangladesh Cricket Board XI, Beximco Dhaka, Bangladesh A, Bangladesh Emerging Team, Khulna Tigers, Bangladesh, Chattogram Challengers, Dhaka Capitals"
Joe Root,England,https://static.cricbuzz.com/a/img/v1/152x152/i1/c617404/joe-root.jpg,"December 30, 1990 (34 years)","Sheffield, Yorkshire",Batsman,Right Handed Bat,Right-arm offbreak
Najmul Hossain Shanto,Bangladesh,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616472/najmul-hossain-shanto.jpg,"August 25, 1998 (26 years)",Rajshahi,Batsman,Left Handed Bat,Right-arm offbreak
Shreyas Iyer,India,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616518/shreyas-iyer.jpg,"December 06, 1994 (30 years)",Mumbai,Batsman,Right Handed Bat,Right-arm legbreak
Jofra Archer,England,https://static.cricbuzz.com/a/img/v1/152x152/i1/c617429/jofra-archer.jpg,"April 01, 1995 (29 years)","Bridgetown, Barbados",Bowler,Right Handed Bat,Right-arm fast
Saqib Mahmood,England,https://static.cricbuzz.com/a/img/v1/152x152/i1/c617414/saqib-mahmood.jpg,"February 25, 1997 (28 years)","Birmingham, Warwickshire",Bowler,Right Handed Bat,Right-arm fast-medium
